Investor Name,Geography,Check Size,Stages,Investment Thesis,Fake Email
"Evolvex Accelerator Incubator, Accelerator",India,$30k to $40k,1. Idea or Patent 2. Prototype +1,"We accelerate and invest in Fintech, SaaS, AI, D2C, CleanTech, AgriTech, EdTech and...",invest@evolvexacceleratorubatoraccelerator.com
M Venture Partners VC firm,Bangladesh India +7,$500k to $1M,1. Idea or Patent 2. Prototype +1,We invest in Pre seed up to Pre-Series A companies with great & smart founders who have had professional experience...,mventurepartners@gmail.com
Michiel Seerden Solo angel,Canada USA +37,$100k to $2M,1. Idea or Patent 2. Prototype +3,"I invest in business with huge growth potential, strong management teams, international ambitions, scalable products...",michiel@seerden.com
Deep Pow Syndicates Angel network,USA UK,$100k to $150k,2. Prototype 3. Early Revenue +1,"We invest in B2B SaaS, automation, productivity, efficiency.",deeppowsyndicates@hotmail.com
Laurence Grant Solo angel,UK,$100k to $1M,3. Early Revenue 4. Scaling,I invest in exceptional founders in a strong market. Ideally we look for companies that seek to achieve high-revenue...,laurence@grant.com
Advantage Capital Other,USA,$1M to $15M,3. Early Revenue 4. Scaling +2,"We invest in small businesses, affordable housing and renewable energy with an emphasis on driving capital to...",invest@advantageother.com
Angelos Pampos Solo angel,UK,$1k to $10k,2. Prototype 3. Early Revenue,"I invest in pre-seed and seed stage technology B2B companies in Education, Healthcare and...",angelos@pampos.com
"Tach Ignite Incubator, Accelerator",USA,$1k to $100k,1. Idea or Patent 2. Prototype +1,"- Tech-driven pre-seed stage with a maximum valuation of $3M.
- Industry agnostic. No businesses that are illegal at...",contact@tachigniteubatoraccelerator.com
big_bets VC firm,Brazil USA +20,$300k to $2M,1. Idea or Patent 2. Prototype +1,We invest in founders trying to create the largest tech companies of the next...,info@big_bets.com
Tenzing.vc VC firm,USA,$50k to $200k,2. Prototype 3. Early Revenue +1,We invest in early-stage US-based B2B / Enterprise-focused SaaS and FinTech startups with early revenue through $5M...,hello@tenzingvc.com
Stephen Industries Family office,Finland Sweden +15,$100k to $5M,1. Idea or Patent 2. Prototype +4,"We invest in companies creating innovative Healthtech, Deeptech and Greentech solutions for a better...",stephenindustries@gmail.com
Kelston Smith Solo angel,Ethiopia Ghana +14,$5k to $100k,1. Idea or Patent 2. Prototype +2,"I invest in the founders and a strong team, typically with the MVP and some transaction albeit some MRR depending on...",kelston@smith.com
Dynamo Ventures VC firm,USA Canada +4,$500k to $1.5M,2. Prototype 3. Early Revenue +1,We are interested in supply chain and mobility startups with enterprise business models that are at the pre-seed or...,team@dynamo.com
Mudita Venture Partner... VC firm,USA Canada,$500k to $1M,3. Early Revenue 4. Scaling,"We invest in FinTech, B2B SaaS, Cybersecurity, EdTech, Future of Work, PropTech, InsurTech, MarTech, LegalTech,...",contact@muditaventurepartner.com
"InQubator by Qubiz Incubator, Accelerator",UK Ireland +2,$55k to $220k,1. Idea or Patent 2. Prototype +1,"We invest in Pre-seed/Seed and Series A startups building in spaces such as SaaS (especially Enterprise),...",invest@inqubatorbyqubizubatoraccelerator.com
Tandem Ventures VC firm,USA,$500k to $2M,3. Early Revenue 5. Growth,We invest in B2B SaaS,hello@tandem.com
Langleven VC firm,Canada USA +1,$350k to $1M,3. Early Revenue 2. Prototype +1,"We invest in tech to maximise human performance, sports, wellness and longevity.",langleven@hotmail.com
1435 Capital Managemen... VC firm,USA,$100k to $1M,2. Prototype 3. Early Revenue +3,We invest in growth stage companies from Seed through Series B broadly in tech.,invest@1435managemen.com
Pras Hanuma Solo angel,Brazil Canada +71,$10k to $1M,1. Idea or Patent 2. Prototype +2,"I invest in Technology, AI, Service Sector, D2C, B2C, Humanoid based applications, Moonshot Ideas, Growth...",pras@hanuma.com
Katha VC Angel network,Kenya Nigeria +19,$100k to $200k,2. Prototype 3. Early Revenue +1,We invest in Pre-Seed and Seed High Growth Markets Fintech. We also consider non-fintech companies where embedded...,invest@kathavc.com
Panakes Partners VC firm,Italy France +8,$3M to $8M,2. Prototype 3. Early Revenue +1,We invest in medtech and biotech,invest@panakespartners.com
First Trust Capital Pa... VC firm,USA,$200k to $1M,3. Early Revenue 4. Scaling,We invest in early and growth stage companies across multiple industries but with a focus on financial services and...,hello@firsttrustpa.com
Julien Barbieux Solo angel,Albania Andorra +44,$5k to $10k,1. Idea or Patent 2. Prototype +1,"I invest in technical teams leveraging the convergence of crypto, AI, advanced computing & communication technologies...",julien@barbieux.com
Impression Ventures VC firm,Canada USA,$1M to $3M,2. Prototype 3. Early Revenue,"We invest in seed stage FinTech companies across North America, and have been doing so since 2013. We focus on founders...",impression@gmail.com
"Prepare 4 VC Incubator, Accelerator",Ghana Kenya +19,$1k to $10k,2. Prototype 3. Early Revenue,Our focus is on turning great founders into great leaders of growing startup ventures. We set goals with you at the...,prepare4vcubatoraccelerator@gmail.com
Cofounders Capital VC firm,USA,$300k to $1M,1. Idea or Patent 2. Prototype +1,"We invest in B2B software ventures, seed stage, in North Carolina and the Southeast United...",team@cofounders.com
Prospective Technologi... VC firm,USA UK +13,$100k to $500k,3. Early Revenue 2. Prototype,"We invest in devtools, SDLC, no-code, open-source.",invest@prospectivetechnologi.com
Smok Ventures VC firm,Albania Belarus +17,$100k to $1M,1. Idea or Patent 2. Prototype +1,We invest in pre-seed and seed stage CEE-based startups building future industry leaders in software and gamedev...,hello@smok.com
Navivo Capital VC firm,Germany France +26,$1M to $2.5M,3. Early Revenue 4. Scaling +1,"We invest in CEE-based companies with a proven product and help them go global. (fintech, IoT, SaaS, deeptech,...",hello@navivo.com
Forefront Venture Part... VC firm,Canada USA +17,$500k to $1M,3. Early Revenue 4. Scaling,"We invest in companies that are already generating revenue and are demonstrating consistent revenue growth. 
- We...",invest@forefrontventurepart.com
Airbridge Equity Partn... VC firm,Netherlands Belgium +7,$1M to $5M,4. Scaling 3. Early Revenue,We invest in companies where technology is at the heart of what they do and critical to the problems they solve for...,contact@airbridgeequitypartn.com
Lexi Ventures VC firm,USA,$50k to $500k,2. Prototype 3. Early Revenue,We invest in US-incorporated gene tech seed stage startups applying or enabling genomics and synbio to health and...,info@lexi.com
Yannick Dillen Solo angel,Belgium Netherlands,$5k to $100k,1. Idea or Patent 2. Prototype +2,I invest in B2B (sector agnostic),yannick@dillen.com
Equentis Angel network,India,$500k to $1M,3. Early Revenue 4. Scaling,"We invest in companies with ARR of INR 10 crores and above, but please reach out regardless if you believe you are on...",equentis@hotmail.com
Peak VC firm,Austria Belgium +11,$200k to $3M,2. Prototype 3. Early Revenue +1,"We invest in SaaS and Platform/Marketplaces businesses in NW-Europe. Our sweetspot is companies that have some revenue,...",info@peak.com
Sachin Sutariya Solo angel,India,$5k to $50k,2. Prototype 3. Early Revenue +1,"I invest in AI/ML and B2B from Global Market, Pre-revenue stage",sachin@sutariya.com
Norselab VC firm,Norway Sweden +9,$1.5M to $5M,3. Early Revenue 4. Scaling +1,"We invest in impact startups primarily in the Nordics.
Investment Themes: Energy Transition, Circularity & Sustainable...",norselab@gmail.com
Flashpoint VC VC firm,USA Ukraine +38,$1M to $5M,3. Early Revenue 4. Scaling +1,"We invest in Late Seed to Series A rounds.

* Target Profile: Companies with $1M-$5M ARR, demonstrating 2x+ YoY...",flashpointvc@gmail.com
LIFTT VC firm,USA Singapore +21,$100k to $2M,1. Idea or Patent 2. Prototype +2,"We invest in HW B2B deep tech sectors like Energy, Quantum, Photonics, Semiconductors, Advanced Materials etc, . We...",contact@liftt.com
Tim Soulo Solo angel,Canada USA +10,$1k to $50k,1. Idea or Patent,"I invest in tech companies, preferrably in MarTech space, which I understand best. But happy to review startups in...",tim@soulo.com
LiveInTech (Live Intui... Startup studio,USA Australia +2,$50k to $500k,1. Idea or Patent 2. Prototype +3,"We invest in Web3 / DLT, Applied AI & Data Platforms, SaaS and Marketplaces, Digital Trust, Infrastructure...",invest@liveintechliveintuistartupstudio.com
Fortino Capital VC firm,Belgium France +3,$1M to $4M,3. Early Revenue 4. Scaling,"We invest in European early-stage B2B SaaS companies (late-Seed, Series A)",team@fortino.com
Orange Ventures Corporate VC,Cameroon Central African Republic +42,$500k to $20M,3. Early Revenue 4. Scaling +1,"We invest in European and North American series B/C startups.
We also support Seed and Series A impact investing...",orangecorporatevc@hotmail.com
Vaclav Gregor Solo angel,Austria Belgium +36,$100k to $5M,3. Early Revenue 4. Scaling +1,I invest in companies at MVP stage in the EU,vaclav@gregor.com
Nasdaq Ventures Corporate VC,USA Canada +7,$2M to $10M,3. Early Revenue 5. Growth +1,"We invest in Data Analytics, Artificial Intelligence, RegTech & Compliance, Blockchain & Digital Assets, Market...",hello@nasdaqcorporatevc.com
Clemens Von Bergmann Solo angel,Austria Germany +4,$100k to $2M,2. Prototype 3. Early Revenue +1,"I invest in early stage companies in Consumer and B2B software and hardware, both for civilian and military...",clemens@vonbergmann.com
Sorenson Impact Instit... VC firm,USA,$50k to $500k,2. Prototype 3. Early Revenue +1,We invest in innovative early-stage social impact startups working to solve the world’s most pressing...,sorensonimpactinstit@gmail.com
Imran Md Solo angel,India Algeria +22,$5k to $50k,1. Idea or Patent 2. Prototype +1,I invest in ambitious founders solving real problems with scalable and tech-driven solutions. I focus on businesses...,imran@md.com
BKR Capital VC firm,Canada USA,$200k to $1.5M,2. Prototype 3. Early Revenue +1,"We invest in promising black founders in the technology space. 

At BKR Capital, we want funding to be more accessible...",bkr@hotmail.com
"YES!Delft Incubator, Accelerator",Netherlands,$5k to $20M,1. Idea or Patent 2. Prototype +1,"YES!Delft is Europe's leading tech incubator, empowering startups to transform innovative ideas into successful...",invest@yesdelftubatoraccelerator.com
Jonah Moroh Solo angel,USA India +3,$1k to $25k,1. Idea or Patent 2. Prototype +1,"I invest in the education journey, from pre-k through professional education. Investments are normal pre-seed as your...",jonah@moroh.com
Newlin VC firm,Argentina Bangladesh +12,$15k to $100k,1. Idea or Patent 2. Prototype +2,"We invest in early-stage startups across North and South America, focusing on Pre-Seed, Seed, and Series A rounds. We...",hello@newlin.com
Worldview Capital VC firm,USA,$500k to $5M,4. Scaling 5. Growth +1,"We invest in US based deep tech companies that are hardware-centric, focusing on the development of innovative...",info@worldview.com
Okya Ventures Angel network,USA India +1,$80k to $200k,3. Early Revenue,"We typically invest in pre-seed/seed stage startups with the following focus areas: AI/ML, Deep Tech, Enterprise...",okya@gmail.com
J4 Ventures VC firm,USA,$100k to $500k,2. Prototype 3. Early Revenue +1,"We invest in tech and tech enabled businesses and are industry agnostic with a focus on Finance, Workplace, Climate,...",info@j4.com
Kili Ventures Angel network,Kenya Morocco +8,$70k to $250k,1. Idea or Patent 2. Prototype +1,We invest in AfricanTech.,contact@kili.com
"BFG Blockchain Founder... Incubator, Accelerator",Canada USA +16,$50k to $200k,1. Idea or Patent 2. Prototype +2,We invest in early-stage web3 startups (pre-seed and seed).,info@bfgblockchainfounderubatoraccelerator.com
Sentiero Ventures VC firm,USA Canada,$250k to $500k,2. Prototype 3. Early Revenue,We invest in B2B AI-enabled SaaS startups that have a full product ready and have one commercial pilot completed. We...,team@sentiero.com
Graphene Ventures VC firm,Nigeria South Africa +10,$500k to $2M,2. Prototype 3. Early Revenue +2,"We invest in B2B software, SaaS, Construction, HealthTech, Sciences, Agritech, Robotics, Cybersecurity and many others....",graphene@hotmail.com
Valu.vc VC firm,Bahrain Oman +195,$50k to $250k,1. Idea or Patent 2. Prototype,"We invest in ideation/early stage high-potential startups within fintech, AI, blockchain, robotic and other tech-driven...",valuvc@gmail.com
Elia Mssawir Solo angel,USA UK +1,$10k to $200k,2. Prototype 3. Early Revenue +1,"I invest in Tech, AI, Entertainment but also companies that are interesting.",elia@mssawir.com
Adesso Ventures Corporate VC,Austria Belgium +21,$100k to $1M,1. Idea or Patent 2. Prototype +2,"We invest in verticalized software, everything along the software development process and digital...",invest@adessocorporatevc.com
Leap435 VC firm,Germany Italy +31,$500k to $2M,2. Prototype 3. Early Revenue +1,"We invest in mobility, logistics, cleanTech, deepTech, manufacturing, energy, maritime, transportation, charging,...",team@leap435.com
"43North Incubator, Accelerator",Canada USA,$1M to $1M,3. Early Revenue 4. Scaling,"We invest in startups that have a full-time founding team, are generating revenue, and have raised outside capital....",hello@43northubatoraccelerator.com
YourNest VC VC firm,India,$500k to $2.5M,1. Idea or Patent 2. Prototype +2,"We invest in DeepTech domains like AI, IoT, Robotics, AR/VR/MR, Dev. Tools, Edge Cloud and other Digital...",yournestvc@hotmail.com
Plug & Play Ventures VC firm,Kenya Nigeria +28,$50k to $400k,1. Idea or Patent 2. Prototype +2,We invest in early stage tech companies across industries. We are based in Silicon Valley but invest in companies...,plugplay@gmail.com
Differential Ventures VC firm,Canada USA +1,$200k to $2M,2. Prototype 3. Early Revenue +1,"We invest in B2B tech companies with a focus on data science, machine learning,...",info@differential.com
Sunsino Venture Group VC firm,USA Hong Kong +4,$200k to $2M,1. Idea or Patent 2. Prototype +2,"We invest in AI, IOT, Medtech, ESG startups with working demos & MVP validated by reputable player from the relevant...",invest@sunsinoventure.com
Murat Topbas Solo angel,Canada USA +2,$10k to $500k,2. Prototype 3. Early Revenue +2,"I invest in startups that have proof of concept, some revenue and plan for business growth; Technology, Finance,...",murat@topbas.com
Kinetic Investments VC firm,Argentina Brazil +20,$600k to $1M,1. Idea or Patent 2. Prototype +1,"We invest in practical AI applications to transform traditional digital business models, with a focus on B2C innovation...",hello@kineticinvestments.com
Robert Olson Solo angel,USA,$5k to $25k,3. Early Revenue,"I invest in Pre-seed & Seed SaaS Enterprise and SaaS Cybersecurity startups.

-Angel Investor
-Or part of larger angle...",robert@olson.com
AFI Ventures VC firm,France UK +4,$150k to $500k,3. Early Revenue 2. Prototype +1,We invest in impact-driven startups reimagining every sector of the global economy in a fairer and more sustainable...,afi@hotmail.com
14Peaks Capital VC firm,Switzerland Germany +14,$300k to $1M,2. Prototype 3. Early Revenue +1,"We invest in 
- Stage: Pre-Seed, Seed and Series A
- Business model: B2B SaaS
- Sectors: Fintech, Future of Work
- Geo:...",contact@14peaks.com
Seed + Speed Ventures Family office,Germany Switzerland +1,$60k to $600k,2. Prototype 3. Early Revenue +1,"We invest in pre-seed and seed stage software startups in Germany, Switzerland and Austria with a focus on b2b...",seedspeed@gmail.com
Stephan Heller Solo angel,Germany UK +2,$5k to $100k,1. Idea or Patent 2. Prototype +1,"I invest in B2B startups mostly. The last few investments were more in deep tech. However, I'm not fixed on the sector....",stephan@heller.com
"IMS Digital Ventures Incubator, Accelerator",USA China +9,$200k to $1M,1. Idea or Patent 2. Prototype +1,We partner with bold entrepeneurs with deep expertise and an idea for how to disrupt their industry. We look for...,hello@imsdigitalubatoraccelerator.com
Malaika Ventures VC firm,USA Canada,$250k to $1.5M,3. Early Revenue 2. Prototype +1,"We invest in pre-seed and seed stage climate tech companies. Operating at the intersection of climate, technology, and...",hello@malaika.com
Vertex Ventures (South... VC firm,Singapore Malaysia +9,$1M to $10M,3. Early Revenue 4. Scaling +1,We invest in high-growth startups seeking their first round of institutional venture capital funding globally...,info@vertexsouth.com
OneRagtime VC firm,France Germany +5,$500k to $6M,2. Prototype 3. Early Revenue +2,"We invest in early-stage software startups
B2C and B2B2C models (and B2B with short sale cycles)
Tech-oriented...",info@oneragtime.com
Zane Venture Fund VC firm,USA,$100k to $500k,3. Early Revenue,"We invest in diverse entrepreneurs and teams who are building tech-enabled solutions primarily here in the southeast,...",info@zaneventurefund.com
